'seed', 'name', 'luminosity', 'mass', 'life', 'age', 'r_ecosphere'
74, 'Chara', 1.200, 1.070, 8916666666.667, 1276691895.107, 1.095
'planet_no', 'a', 'e', 'axial_tilt', 'mass', 'gas_giant', 'dust_mass', 'gas_mass', 'core_radius', 'radius', 'orbit_zone', 'density', 'orb_period', 'day', 'resonant_period', 'esc_velocity', 'surf_accel', 'surf_grav', 'rms_velocity', 'molec_weight', 'volatile_gas_inventory', 'surf_pressure', 'greenhouse_effect', 'boil_point', 'albedo', 'exospheric_temp', 'estimated_temp', 'estimated_terr_temp', 'surf_temp', 'greenhs_rise', 'high_temp', 'low_temp', 'max_temp', 'min_temp', 'hydrosphere', 'cloud_cover', 'ice_cover', 'atmosphere', 'type', 'minor_moons'
'Chara 1', 0.103, 0.142, 0.199, 0.000, 0, 0.000, 0.000, 876.037, 876.037, 1, 5.313, 11.708, 210.923, 1, 150960.612, 130.069, 0.133, 1130294.489, 37612.818, 0.000, 0.000, 1, 0.000, 0.070, 143413.013, 935.511, 935.511, 874.432, -148.329, 1127.248, 426.201, 1138.783, 385.805, 0.000, 0.000, 0.000, '', 'Rock', 0
'Chara 2', 0.137, 0.057, 0.000, 0.000, 0, 0.000, 0.000, 1539.764, 1539.764, 1, 5.320, 17.920, 430.080, 0, 265515.843, 228.927, 0.233, 851034.738, 6892.946, 0.000, 0.000, 1, 0.000, 0.070, 81301.754, 811.758, 811.758, 758.759, -128.707, 1011.442, 249.080, 1017.183, 223.380, 0.000, 0.000, 0.000, '', 'Rock', 0
'Chara 3', 0.192, 0.152, 2.590, 0.000, 0, 0.000, 0.000, 928.187, 928.187, 1, 5.313, 29.818, 527.051, 1, 159953.553, 137.823, 0.141, 606067.146, 9632.409, 0.000, 0.000, 1, 0.000, 0.070, 41233.179, 685.036, 685.036, 640.311, -108.615, 873.696, 187.973, 879.363, 164.516, 0.000, 0.000, 0.000, '', 'Rock', 0
'Chara 4', 0.437, 0.045, 0.000, 0.000, 0, 0.000, 0.000, 4220.770, 4220.770, 1, 5.390, 102.065, 2449.570, 0, 732641.372, 635.859, 0.648, 266841.411, 89.057, 0.000, 0.000, 1, 0.000, 0.070, 7993.037, 454.548, 454.548, 424.871, -72.070, 620.135, 68.920, 623.316, 59.730, 0.000, 0.000, 0.000, '', 'Rock', 0
'Chara 4.1', 0.437, 0.045, 0.000, 0.000, 0, 0.000, 0.000, 2717.840, 2717.840, 1, 5.343, 102.065, 2449.571, 0, 469662.684, 405.806, 0.414, 266841.411, 216.631, 0.000, 0.000, 1, 0.000, 0.070, 7993.037, 454.548, 454.548, 424.871, -72.070, 620.135, 68.920, 623.316, 59.730, 0.000, 0.000, 0.000, '', 'Rock'
'Chara 5', 0.653, 0.022, 0.000, 0.000, 0, 0.000, 0.000, 2912.746, 2912.746, 1, 5.348, 186.529, 4476.685, 0, 503579.295, 435.314, 0.444, 178515.351, 84.365, 0.000, 0.000, 1, 0.000, 0.070, 3577.309, 371.784, 371.784, 347.511, -58.948, 523.650, 51.503, 526.829, 45.118, 0.000, 0.000, 0.000, '', 'Rock', 0
'Chara 6', 0.958, 0.125, 5.086, 0.000, 0, 0.000, 0.000, 5417.126, 5417.126, 1, 5.444, 331.114, 17.254, 0, 944999.151, 824.259, 0.841, 121764.405, 11.179, 79364.117, 48756.688, 1, 523.185, 0.520, 1664.355, 307.053, 307.053, 547.559, 211.869, 548.553, 545.804, 553.833, 540.408, 0.000, 1.000, 0.000, 'N 99.3% 48402mb (ipp:48339) poisonous; Ar 0.6% 289mb (ipp:289); CO2 0.1% 31mb (ipp:31) poisonous; H2O 0.1% 30mb (ipp:30); ', 'Venusian', 0
'Chara 7', 1.320, 0.041, 30.146, 0.000, 0, 0.000, 0.000, 7301.919, 7301.919, 1, 5.560, 535.546, 14.260, 0, 1287261.526, 1134.662, 1.157, 88370.530, 3.192, 1417.865, 2178.632, 0, 395.760, 0.218, 876.638, 261.581, 261.581, 280.924, -5.054, 283.638, 278.036, 299.275, 261.530, 0.768, 0.345, 0.045, 'N 77.0% 1677mb (ipp:1629); He 16.0% 348mb (ipp:338); O 6.9% 150mb (ipp:146); Ar 0.1% 3mb (ipp:3); ', 'Terrestrial', 0
'Chara 7.1', 1.320, 0.041, 3.574, 0.000, 0, 0.000, 0.000, 1823.667, 1823.667, 1, 5.324, 535.547, 31.384, 0, 314599.228, 271.356, 0.277, 88370.530, 52.972, 0.000, 0.000, 0, 0.000, 0.070, 876.638, 261.581, 261.581, 244.503, -41.475, 277.487, 211.339, 305.820, 182.660, 0.000, 0.000, 0.000, '', 'Rock'
'Chara 8', 2.102, 0.025, 32.346, 0.000, 1, 0.000, 0.000, 12768.451, 31053.830, 1, 1.579, 1076.214, 11.040, 0, 2917658.895, 1370.641, 1.398, 55491.507, 0.273,   inf,   inf, 0,   inf, 0.478, 345.667, 192.599, 207.284, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000, '', 'Jovian', 0
